distinct_id,"Document le plus recommandé","Document 2","Document 3","Document 4","Document 5","Score de la meilleur reco","Score 2","Score 3","Score 4","Score 5"
5469b137-be89-40d0-9bd5-d8ba22084e48,74c55886-abd3-4871-a9ed-fd739c0885d5,50a61dc8-9bdb-4f0a-a45f-5c2c7ca1d7bf,cc351040-a05d-490f-bb42-d5bb15b42a59,00fd97c0-f6f0-49d6-8658-e909717a497f,7bac4ec5-4f95-4723-9cde-1ab35083b536,100,68.2,55.2,55.1,53.5
578b786f-8207-440c-83a6-fa035c332439,74c55886-abd3-4871-a9ed-fd739c0885d5,65a138a9-ec54-4e4b-aaac-9286b01a7ec6,d7528f22-ec63-4981-a09c-20475887e2c4,50a61dc8-9bdb-4f0a-a45f-5c2c7ca1d7bf,7bac4ec5-4f95-4723-9cde-1ab35083b536,100,57.1,50.9,44.9,44.3
592c502b-eaab-40d5-8b58-5a5a2add6388,2d67c10f-956e-4453-bea5-d58c8b2aed15,74c55886-abd3-4871-a9ed-fd739c0885d5,31817c5a-d893-4fe5-8527-6d9f05d50536,5011267c-10fd-4e62-a83d-3f53653527a5,70e285a5-c2bf-49c3-a62c-a9e914e691a2,100,67.9,39.7,35.7,26
5b2da8d2-1167-496f-96ac-b120654dedc7,74c55886-abd3-4871-a9ed-fd739c0885d5,31817c5a-d893-4fe5-8527-6d9f05d50536,65a138a9-ec54-4e4b-aaac-9286b01a7ec6,d7528f22-ec63-4981-a09c-20475887e2c4,50a61dc8-9bdb-4f0a-a45f-5c2c7ca1d7bf,100,41.9,40.8,33.4,25.6
61754d80-e0ad-4abf-8671-672974796832,74c55886-abd3-4871-a9ed-fd739c0885d5,31817c5a-d893-4fe5-8527-6d9f05d50536,65a138a9-ec54-4e4b-aaac-9286b01a7ec6,d7528f22-ec63-4981-a09c-20475887e2c4,50a61dc8-9bdb-4f0a-a45f-5c2c7ca1d7bf,100,44.3,43.8,36.8,29.1
61bd8e1b-bb34-4a6f-9ec8-dc12b87b96df,2d67c10f-956e-4453-bea5-d58c8b2aed15,31817c5a-d893-4fe5-8527-6d9f05d50536,65a138a9-ec54-4e4b-aaac-9286b01a7ec6,d7528f22-ec63-4981-a09c-20475887e2c4,50a61dc8-9bdb-4f0a-a45f-5c2c7ca1d7bf,100,14.8,14.4,11.7,9.1
68f19131-7f6b-4e06-b0ca-39c016c37483,2d67c10f-956e-4453-bea5-d58c8b2aed15,74c55886-abd3-4871-a9ed-fd739c0885d5,31817c5a-d893-4fe5-8527-6d9f05d50536,65a138a9-ec54-4e4b-aaac-9286b01a7ec6,d7528f22-ec63-4981-a09c-20475887e2c4,100,33.8,14.2,13.6,11
69d255aa-6469-42cd-9f66-6c603e57dc67,2d67c10f-956e-4453-bea5-d58c8b2aed15,74c55886-abd3-4871-a9ed-fd739c0885d5,d7528f22-ec63-4981-a09c-20475887e2c4,50a61dc8-9bdb-4f0a-a45f-5c2c7ca1d7bf,7bac4ec5-4f95-4723-9cde-1ab35083b536,100,43.3,18.7,15.6,15.4
6be647e3-de74-4254-bc6b-aa11332cd1ae,74c55886-abd3-4871-a9ed-fd739c0885d5,31817c5a-d893-4fe5-8527-6d9f05d50536,65a138a9-ec54-4e4b-aaac-9286b01a7ec6,d7528f22-ec63-4981-a09c-20475887e2c4,50a61dc8-9bdb-4f0a-a45f-5c2c7ca1d7bf,100,64.7,63.1,57,51.6
6d475d75-d0fe-46fa-addc-b721b6ece8f7,74c55886-abd3-4871-a9ed-fd739c0885d5,d7528f22-ec63-4981-a09c-20475887e2c4,50a61dc8-9bdb-4f0a-a45f-5c2c7ca1d7bf,7bac4ec5-4f95-4723-9cde-1ab35083b536,5011267c-10fd-4e62-a83d-3f53653527a5,100,44.9,37.7,35.2,31.7
6f9e7427-0e6f-469d-af2e-dfef2a8b8827,2d67c10f-956e-4453-bea5-d58c8b2aed15,d7528f22-ec63-4981-a09c-20475887e2c4,50a61dc8-9bdb-4f0a-a45f-5c2c7ca1d7bf,5011267c-10fd-4e62-a83d-3f53653527a5,cc351040-a05d-490f-bb42-d5bb15b42a59,100,22.3,19.2,16.6,14.9
715e2013-a8be-4313-a212-5ab50f2e77a9,74c55886-abd3-4871-a9ed-fd739c0885d5,50a61dc8-9bdb-4f0a-a45f-5c2c7ca1d7bf,7bac4ec5-4f95-4723-9cde-1ab35083b536,5011267c-10fd-4e62-a83d-3f53653527a5,cc351040-a05d-490f-bb42-d5bb15b42a59,100,39,36.5,33,29.9
720258d3-9b83-481f-a235-f82b35cb535d,2d67c10f-956e-4453-bea5-d58c8b2aed15,65a138a9-ec54-4e4b-aaac-9286b01a7ec6,d7528f22-ec63-4981-a09c-20475887e2c4,7bac4ec5-4f95-4723-9cde-1ab35083b536,5011267c-10fd-4e62-a83d-3f53653527a5,100,18.1,15.3,12.1,10.6
7230d117-6fd9-4d92-8449-e8c1c6b01ecb,2d67c10f-956e-4453-bea5-d58c8b2aed15,74c55886-abd3-4871-a9ed-fd739c0885d5,31817c5a-d893-4fe5-8527-6d9f05d50536,65a138a9-ec54-4e4b-aaac-9286b01a7ec6,d7528f22-ec63-4981-a09c-20475887e2c4,100,33.2,13.7,13.2,10.7
74cd94dc-350f-460e-be99-19634150691b,2d67c10f-956e-4453-bea5-d58c8b2aed15,74c55886-abd3-4871-a9ed-fd739c0885d5,31817c5a-d893-4fe5-8527-6d9f05d50536,65a138a9-ec54-4e4b-aaac-9286b01a7ec6,d7528f22-ec63-4981-a09c-20475887e2c4,100,32.5,13,12.6,10.1
763b9b12-b580-40af-8374-35b6855b4ae4,2d67c10f-956e-4453-bea5-d58c8b2aed15,74c55886-abd3-4871-a9ed-fd739c0885d5,31817c5a-d893-4fe5-8527-6d9f05d50536,65a138a9-ec54-4e4b-aaac-9286b01a7ec6,d7528f22-ec63-4981-a09c-20475887e2c4,100,33.4,13.9,13.3,10.7
7a0676ba-121b-4fe3-b53f-f448cc4eb771,2d67c10f-956e-4453-bea5-d58c8b2aed15,74c55886-abd3-4871-a9ed-fd739c0885d5,31817c5a-d893-4fe5-8527-6d9f05d50536,65a138a9-ec54-4e4b-aaac-9286b01a7ec6,d7528f22-ec63-4981-a09c-20475887e2c4,100,32.5,13.2,12.6,10.1
7ab4538a-cd72-439c-b105-f861b79018c4,74c55886-abd3-4871-a9ed-fd739c0885d5,31817c5a-d893-4fe5-8527-6d9f05d50536,65a138a9-ec54-4e4b-aaac-9286b01a7ec6,d7528f22-ec63-4981-a09c-20475887e2c4,50a61dc8-9bdb-4f0a-a45f-5c2c7ca1d7bf,100,41.6,40.4,32.9,25.4
7d7184dd-d56a-4b24-9d1e-9d7780659ea3,74c55886-abd3-4871-a9ed-fd739c0885d5,65a138a9-ec54-4e4b-aaac-9286b01a7ec6,31817c5a-d893-4fe5-8527-6d9f05d50536,d7528f22-ec63-4981-a09c-20475887e2c4,50a61dc8-9bdb-4f0a-a45f-5c2c7ca1d7bf,100,45.1,44.2,38.5,30.8
80b4c407-6ea1-4f90-95b8-7608fb6c158e,74c55886-abd3-4871-a9ed-fd739c0885d5,31817c5a-d893-4fe5-8527-6d9f05d50536,65a138a9-ec54-4e4b-aaac-9286b01a7ec6,d7528f22-ec63-4981-a09c-20475887e2c4,50a61dc8-9bdb-4f0a-a45f-5c2c7ca1d7bf,100,42.7,42.2,35,27.4
82a282bd-87c5-4660-9d6b-04aa3da24d1b,2d67c10f-956e-4453-bea5-d58c8b2aed15,74c55886-abd3-4871-a9ed-fd739c0885d5,31817c5a-d893-4fe5-8527-6d9f05d50536,65a138a9-ec54-4e4b-aaac-9286b01a7ec6,d7528f22-ec63-4981-a09c-20475887e2c4,100,33.2,13.7,13.2,10.7
84dbf474-83e7-4c34-adc0-af84dd576a22,2d67c10f-956e-4453-bea5-d58c8b2aed15,74c55886-abd3-4871-a9ed-fd739c0885d5,31817c5a-d893-4fe5-8527-6d9f05d50536,65a138a9-ec54-4e4b-aaac-9286b01a7ec6,d7528f22-ec63-4981-a09c-20475887e2c4,100,35.3,15.1,14.6,12
86d76011-5ac4-417e-b35d-a25050290f2b,2d67c10f-956e-4453-bea5-d58c8b2aed15,74c55886-abd3-4871-a9ed-fd739c0885d5,31817c5a-d893-4fe5-8527-6d9f05d50536,65a138a9-ec54-4e4b-aaac-9286b01a7ec6,d7528f22-ec63-4981-a09c-20475887e2c4,100,33.5,13.9,13.5,11
88ef4a1a-a39d-4db4-9978-f8581ea08cf4,2d67c10f-956e-4453-bea5-d58c8b2aed15,31817c5a-d893-4fe5-8527-6d9f05d50536,65a138a9-ec54-4e4b-aaac-9286b01a7ec6,d7528f22-ec63-4981-a09c-20475887e2c4,5011267c-10fd-4e62-a83d-3f53653527a5,100,26.8,26.2,22.9,17.7
8c102325-9c92-419d-8415-61f8fa02ae6c,74c55886-abd3-4871-a9ed-fd739c0885d5,65a138a9-ec54-4e4b-aaac-9286b01a7ec6,d7528f22-ec63-4981-a09c-20475887e2c4,7bac4ec5-4f95-4723-9cde-1ab35083b536,50a61dc8-9bdb-4f0a-a45f-5c2c7ca1d7bf,100,61.7,55.3,49.6,49.1
8dd37dbf-7958-48b5-b92d-94fcde5a36bb,2d67c10f-956e-4453-bea5-d58c8b2aed15,74c55886-abd3-4871-a9ed-fd739c0885d5,31817c5a-d893-4fe5-8527-6d9f05d50536,65a138a9-ec54-4e4b-aaac-9286b01a7ec6,d7528f22-ec63-4981-a09c-20475887e2c4,100,32.8,13.5,12.9,10.3
8f7ba373-e0bf-4eb4-8c6e-4a05df5356b7,2d67c10f-956e-4453-bea5-d58c8b2aed15,d7528f22-ec63-4981-a09c-20475887e2c4,50a61dc8-9bdb-4f0a-a45f-5c2c7ca1d7bf,7bac4ec5-4f95-4723-9cde-1ab35083b536,5011267c-10fd-4e62-a83d-3f53653527a5,100,13.3,10.6,10.3,8.9
9190964a-5254-4e21-9861-b5707dadb757,2d67c10f-956e-4453-bea5-d58c8b2aed15,65a138a9-ec54-4e4b-aaac-9286b01a7ec6,d7528f22-ec63-4981-a09c-20475887e2c4,50a61dc8-9bdb-4f0a-a45f-5c2c7ca1d7bf,7bac4ec5-4f95-4723-9cde-1ab35083b536,100,20.6,17.7,14.7,14.2
93a8e31e-3581-4b7a-9cca-87e1c89a4b98,74c55886-abd3-4871-a9ed-fd739c0885d5,31817c5a-d893-4fe5-8527-6d9f05d50536,65a138a9-ec54-4e4b-aaac-9286b01a7ec6,d7528f22-ec63-4981-a09c-20475887e2c4,50a61dc8-9bdb-4f0a-a45f-5c2c7ca1d7bf,100,47.7,47.3,40.5,32.8
93b83640-09cc-4a56-a95e-4c64aa5c2ed9,2d67c10f-956e-4453-bea5-d58c8b2aed15,74c55886-abd3-4871-a9ed-fd739c0885d5,65a138a9-ec54-4e4b-aaac-9286b01a7ec6,d7528f22-ec63-4981-a09c-20475887e2c4,7bac4ec5-4f95-4723-9cde-1ab35083b536,100,35.6,15.1,12.3,9.9
97d532c1-1249-465c-a693-d917797ae3e4,2d67c10f-956e-4453-bea5-d58c8b2aed15,74c55886-abd3-4871-a9ed-fd739c0885d5,31817c5a-d893-4fe5-8527-6d9f05d50536,65a138a9-ec54-4e4b-aaac-9286b01a7ec6,d7528f22-ec63-4981-a09c-20475887e2c4,100,32.8,13.5,12.9,10.4
